Date,Open,High,Low,Close,Adj Close,Volume
2014-08-19,112.76,116.35,112.57,115.85,96.88,28744215
2014-08-20,116.38,116.93,114.75,116.53,97.45,12854710
2014-08-21,115.8,117.88,114.63,114.99,96.16,20209010
2014-08-22,115.3,117.6,115.3,116.78,97.66,14629055
2014-08-25,117.2,118.67,114.65,115.27,96.4,16523290
2014-08-26,113.0,114.88,111.36,113.54,94.95,18530280
2014-08-27,114.3,115.3,113.26,114.72,95.94,10521530
2014-08-28,115.44,115.54,113.16,114.41,95.68,12930910
2014-09-01,114.88,119.49,114.53,119.28,99.75,17242775
2014-09-02,119.6,122.49,119.54,121.72,101.79,23281320
2014-09-03,122.24,125.68,122.0,124.87,104.43,36167575
2014-09-04,125.2,125.28,122.82,123.83,103.56,12723880
2014-09-05,123.8,124.92,121.31,122.33,102.3,14048445
2014-09-08,122.99,124.4,121.93,124.18,103.85,9623690
2014-09-09,124.2,125.7,123.0,125.16,104.67,11380145
2014-09-10,124.0,124.58,122.38,124.09,103.77,13272385
2014-09-11,124.6,125.85,124.51,125.1,104.62,10535900
2014-09-12,125.24,126.94,124.6,126.6,105.87,10529130
2014-09-15,124.84,124.84,119.58,120.05,100.39,21389680
2014-09-16,117.95,119.36,114.82,115.2,96.34,20635070
2014-09-17,116.0,118.6,114.26,117.4,98.18,22373330
2014-09-18,116.25,119.6,115.39,118.96,99.48,14341395
2014-09-19,119.2,119.74,116.12,116.48,97.41,9684735
2014-09-22,116.98,118.8,116.6,118.44,99.05,7809745
2014-09-23,118.4,119.43,116.1,116.61,97.52,6562715
2014-09-24,115.44,116.48,112.52,113.69,95.08,8890980
2014-09-25,113.0,113.58,108.34,108.78,90.97,12011790
2014-09-26,107.7,115.55,107.19,114.71,95.93,13249530
2014-09-29,114.8,115.16,112.31,113.69,95.08,7332935
2014-09-30,112.7,114.4,110.77,111.77,93.47,9510265
2014-10-01,112.38,112.72,110.51,111.49,93.24,5309380
2014-10-07,110.5,112.96,109.19,110.22,92.17,6322180
2014-10-08,109.12,111.59,109.02,110.79,92.65,6727305
2014-10-09,111.44,116.13,111.44,115.69,96.75,9761695
2014-10-10,114.4,115.54,112.25,114.61,95.84,8274295
2014-10-13,113.47,117.74,113.2,117.09,97.92,9097035
2014-10-14,117.4,119.38,116.69,117.46,98.23,8819670
2014-10-15,117.46,117.46,117.46,117.46,98.23,0
2014-10-16,116.28,120.15,115.73,117.72,98.45,13356615
2014-10-17,117.02,120.0,117.02,119.66,100.07,9083030
2014-10-20,122.8,123.6,121.23,122.77,102.67,9029220
2014-10-21,123.0,125.0,122.43,124.73,104.31,8625255
2014-10-22,125.8,126.2,123.13,124.24,103.9,6112170
2014-10-27,124.4,129.16,123.8,128.79,107.7,12679510
2014-10-28,128.8,129.37,126.54,128.26,107.26,6769400
2014-10-29,128.66,129.0,127.05,127.66,106.76,7074230
2014-10-30,128.19,132.94,127.2,132.52,110.82,31458985
2014-10-31,133.6,137.84,133.2,136.9,114.49,15570795
2014-11-03,137.08,137.09,135.1,135.67,113.46,9279455
2014-11-05,136.18,137.8,133.43,133.97,112.04,9979795
2014-11-07,134.98,136.18,133.01,135.23,113.09,9392425
2014-11-10,135.6,136.31,133.64,134.93,112.84,6305545
2014-11-11,135.0,135.8,133.85,135.32,113.16,5124080
2014-11-12,135.8,140.94,135.62,140.13,117.19,17274100
2014-11-13,141.0,142.48,138.02,138.69,115.98,15115325
2014-11-14,138.78,140.06,137.52,137.89,115.31,8353105
2014-11-17,137.8,139.4,137.1,137.91,115.33,6580170
2014-11-18,137.98,139.88,136.8,138.71,116.0,7901560
2014-11-19,138.6,139.3,135.56,136.21,113.91,5732640
2014-11-20,136.42,136.71,134.0,135.09,112.97,6640050
2014-11-21,138.4,141.1,137.6,140.6,117.58,24618510
2014-11-24,141.5,141.52,138.8,139.73,116.85,10982620
2014-11-25,140.19,140.2,134.98,135.66,113.45,11316990
2014-11-26,134.33,137.8,134.22,136.71,114.33,12708050
2014-11-27,136.4,139.0,135.21,138.65,115.95,11706160
2014-11-28,139.04,143.98,139.04,141.99,118.74,16628900
2014-12-01,142.06,143.9,142.0,142.93,119.53,13368260
2014-12-02,141.81,143.96,139.78,143.58,120.07,15632775
2014-12-03,143.6,150.0,143.6,148.26,123.99,25366385
2014-12-04,148.8,152.5,146.44,151.92,127.05,16231820
2014-12-05,151.65,153.35,149.28,150.12,125.54,10470870
2014-12-08,150.24,150.4,146.71,147.15,123.06,11133160
2014-12-09,146.38,147.76,142.62,143.36,119.89,13694005
2014-12-10,142.6,145.76,142.6,143.45,119.96,17204115
2014-12-11,143.0,144.26,140.41,140.96,117.88,16623555
2014-12-12,141.54,142.72,139.1,139.78,116.89,12044030
2014-12-15,138.38,143.7,138.05,141.71,118.51,13295620
2014-12-16,140.4,140.86,136.04,138.19,115.56,24593550
2014-12-17,136.8,140.0,134.0,137.28,114.8,22411880
2014-12-18,140.0,144.9,139.93,143.95,120.38,16173390
2014-12-19,146.01,147.3,144.22,145.69,121.84,16823360
2014-12-22,145.2,148.96,144.02,148.25,123.98,10991390
2014-12-23,149.69,149.9,146.2,147.09,123.01,11301155
2014-12-24,147.52,149.78,146.5,149.01,124.61,9685860
2014-12-26,149.23,149.66,147.34,148.2,123.94,6999975
2014-12-29,149.2,149.75,147.28,148.49,124.18,8101710
2014-12-30,148.8,153.89,147.27,153.52,128.38,20468880
2014-12-31,153.52,155.0,152.36,154.41,129.13,10031815
2015-01-01,153.8,154.93,153.21,154.51,129.21,3675025
2015-01-02,154.6,159.16,154.2,158.44,132.5,10627395
2015-01-05,159.3,160.98,157.96,158.78,132.78,14164070
2015-01-06,157.71,157.76,153.67,154.33,129.06,12749005
2015-01-07,154.0,155.2,150.85,151.47,126.67,15567125
2015-01-08,154.0,154.9,152.2,153.83,128.64,11130605
2015-01-09,156.0,156.46,150.27,152.77,127.76,13265440
2015-01-12,153.2,156.2,151.7,155.57,130.1,9423490
2015-01-13,157.1,159.75,155.2,156.35,130.75,17997855
2015-01-14,157.59,158.6,155.04,157.34,131.58,30983715
2015-01-15,163.6,165.0,161.4,162.64,136.01,30096355
2015-01-16,162.7,163.74,160.0,160.53,134.25,24563605
2015-01-19,161.99,165.45,161.26,164.99,137.98,14671960
2015-01-20,165.4,172.59,165.4,171.67,143.56,20434335
2015-01-21,172.2,176.0,169.7,171.04,143.04,24417815
2015-01-22,171.8,172.58,168.28,170.4,142.5,11307420
2015-01-23,172.88,176.35,171.5,175.24,146.55,18715695
2015-01-27,176.0,177.0,172.44,176.57,147.66,17618110
2015-01-28,176.24,179.0,174.87,176.76,147.82,15155780
2015-01-29,175.81,177.58,174.4,174.85,146.22,18110675
2015-01-30,175.6,177.19,171.4,172.49,144.25,15269195
2015-02-02,171.79,171.79,163.81,166.44,139.19,40766690
2015-02-03,167.98,168.14,160.2,161.43,135.0,29277895
2015-02-04,162.2,164.38,158.32,160.47,134.2,18173280
2015-02-05,160.16,165.4,158.8,161.57,135.12,19136815
2015-02-06,162.0,163.98,159.62,162.16,135.61,15057070
2015-02-09,161.0,161.5,158.2,159.31,133.23,12726995
2015-02-10,157.94,165.96,146.8,163.56,136.78,21805225
2015-02-11,164.0,167.0,164.0,165.31,138.24,12201935
2015-02-12,164.84,168.24,163.05,167.82,140.34,14864220
2015-02-13,168.4,169.0,166.25,167.01,139.67,11192775
2015-02-16,167.9,167.91,162.42,163.13,136.42,12646900
2015-02-18,163.2,164.97,161.23,163.93,137.09,12668965
2015-02-19,164.7,165.44,160.52,162.67,136.04,12998200
2015-02-20,162.78,166.4,160.8,165.01,137.99,12511580
2015-02-23,168.2,168.36,161.35,162.2,135.64,16180655
2015-02-24,162.4,162.4,159.0,160.07,133.86,17155100
2015-02-25,160.6,162.13,158.6,158.97,132.94,15775115
2015-02-26,159.0,160.23,156.02,156.72,131.06,21484770
2015-02-27,157.98,164.9,157.22,164.16,137.28,19578860
2015-03-02,175.0,177.7,173.01,176.5,147.6,29341120
2015-03-03,176.98,177.0,173.0,175.73,146.96,10322765
2015-03-04,181.21,181.79,169.96,171.33,143.28,20876230
2015-03-05,171.0,172.98,168.5,171.34,143.29,13710620
2015-03-09,169.0,169.76,164.25,164.83,137.84,13809950
